,label
ALS01,4
ALS02,4
ALS03,4
ALS04,4
ALS05,4
ALS06,4
ALS07,4
ALS08,4
ALS09,4
ALS10,4
ALS11,4
ANT01,5
ANT02,5
BFC01,4
BFC02,4
BFC03,5
BFC04,4
BFC05,4
BFC06,4
BFC07,4
BFC08,4
BFC09,4
BFC10,4
BOD01,4
BOD02,4
BOD03,5
BOD04,4
BOD05,4
BOD06,4
BOD07,4
BOD08,4
BOD09,5
BOD10,4
BOD11,4
BOD12,4
BOD13,4
BOD14,4
BOD15,4
BOD16,4
BRE01,5
BRE02,5
BRE03,5
BRE04,5
BRE05,4
BRE06,4
BRE07,4
BRE08,4
BRE09,4
BRE10,4
BRE11,4
BRE12,5
BRE13,4
BRE14,4
BRE15,4
BRE16,4
CFE01,4
CFE02,4
CFE03,4
CFE04,4
CFE05,4
CFE06,4
CFE07,4
CFE08,4
CFE09,4
CFE10,4
CFE11,5
CVL01,4
CVL02,3
CVL03,4
CVL04,5
GRE01,4
GRE02,4
GRE03,3
GRE04,4
GRE05,4
GRE06,4
GRE07,4
GRE08,4
GRE09,5
GRE10,4
GRE11,5
GRE12,4
GRE13,5
GRE14,5
GRE15,5
HES01,4
HES02,4
HES03,5
HES04,4
HES05,3
HES06,4
HES07,5
HES08,3
LDV01,4
LDV02,5
LDV03,4
LDV04,4
LDV05,4
LDV06,4
LDV07,5
LDV08,4
LDV09,4
LDV10,4
LOR01,4
LOR02,4
LOR03,4
LOR04,5
LOR05,4
LOR06,4
LOR07,4
LOR08,4
LOR09,4
LOR10,3
LRE01,4
LRE02,4
LRE03,4
LRE04,4
LRE05,5
LRE06,3
LRE07,4
LRE08,4
LRE09,3
LRE10,4
LRE11,5
LYO01,4
LYO02,4
LYO03,4
LYO04,4
LYO05,3
LYO06,5
LYO07,4
LYO08,4
LYO09,4
LYO10,4
LYO11,4
LYO12,4
LYO13,4
LYO14,5
NOR01,4
NOR02,5
NOR03,5
NOR04,4
NOR05,3
NOR06,4
NOR07,4
NOR08,4
NOR09,4
NOR10,4
NOR11,4
NOR12,4
OCM01,5
OCM02,4
OCM03,3
OCM04,4
OCM05,5
OCM06,4
OCM07,5
OCM08,5
OCM09,4
OCM10,4
OCM11,3
OCM12,4
OCM13,3
OCM14,4
OCM15,4
OCM16,3
OCM17,4
OCM18,4
OCM19,5
OCM20,4
PES01,4
PES02,4
PES03,3
PES04,3
PES05,5
PES06,4
PES07,5
PES08,4
PES09,4
PES10,4
PES11,4
POF01,4
POF02,4
POF03,5
POF04,4
POF05,4
SEN01,4
SEN02,4
SOU01,4
SOU02,4
SOU03,4
SOU04,3
SOU05,4
SOU06,4
SOU07,4
SOU08,5
SOU09,2
SOU10,5
SOU11,5
SOU12,4
SOU13,5
SOU14,4
SOU15,4
SOU16,5
SPC01,5
SPC02,4
SPC03,3
SPC04,4
SPC05,5
SPC06,5
SPC07,4
SPC08,3
SPC09,4
SPC10,4
SPC11,4
SPC12,4
UCA01,4
UCA02,4
UCA03,5
UCA04,4
UCA05,4
UCA06,4
UCA07,4
UCA08,4
UCA09,4
UCA10,4
UCA11,4
UCA12,4
UCA13,4
UCA14,4
UCA15,4
UPL01,5
UPL02,4
UPS01,3
UPS02,4
UPS03,4
UPS04,3
UPS05,5
UPS06,4
UPS07,4
UPS08,5
UPS09,4
UPS10,2
UPS11,4
UPS12,4
UPS13,5
UPS14,4
UPS15,4
